metric,value
vehicle,1
total_rows,81898
total_columns,11
columns,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']"
anomalies,"{'time_65535_sentinel': np.int64(81898), 'vhc_totalmile_65535_sentinel': np.int64(81898), 'bcell_minvoltage_zero_values': np.int64(136), 'bcell_mintemp_extreme': np.int64(6), 'large_voltage_spread': np.int64(136), 'timestamp_inconsistencies': np.int64(17613)}"
total_anomalies,181687
missing_info,"{'total_missing': np.int64(0), 'missing_percentage': np.float64(0.0)}"
distributions,"{'vhc_speed': {'mean': np.float64(24.575848006056315), 'std': np.float64(26.44235513483653), 'min': np.float64(0.0), 'max': np.float64(115.3), 'median': np.float64(16.3), 'skewness': np.float64(0.7536033368243487), 'kurtosis': np.float64(-0.49414885399113295), 'zeros_pct': np.float64(39.8532320691592), 'outliers_3sigma': np.int64(227)}, 'hv_current': {'mean': np.float64(-0.5247698356492225), 'std': np.float64(37.152982579893504), 'min': np.float64(-200.2), 'max': np.float64(185.5), 'median': np.float64(2.4), 'skewness': np.float64(-1.7944067696013681), 'kurtosis': np.float64(5.2190916374890755), 'zeros_pct': np.float64(0.5189381914088256), 'outliers_3sigma': np.int64(3086)}, 'bcell_soc': {'mean': np.float64(70.5717233632079), 'std': np.float64(16.441491397554433), 'min': np.int64(20), 'max': np.int64(98), 'median': np.float64(74.0), 'skewness': np.float64(-0.6071069415015388), 'kurtosis': np.float64(-0.3990196850891894), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(89)}, 'bcell_maxvoltage': {'mean': np.float64(3.9526508461745093), 'std': np.float64(0.16994681660043665), 'min': np.float64(3.562), 'max': np.float64(4.285), 'median': np.float64(3.975), 'skewness': np.float64(-0.2629628083547046), 'kurtosis': np.float64(-1.0401541462308672), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_minvoltage': {'mean': np.float64(3.923239493027913), 'std': np.float64(0.23240166011909788), 'min': np.float64(0.0), 'max': np.float64(4.262), 'median': np.float64(3.95), 'skewness': np.float64(-8.03105326775087), 'kurtosis': np.float64(132.40426147101928), 'zeros_pct': np.float64(0.16606022125082417), 'outliers_3sigma': np.int64(136)}, 'bcell_maxtemp': {'mean': np.float64(27.81247405309043), 'std': np.float64(2.9508015057272097), 'min': np.int64(19), 'max': np.int64(35), 'median': np.float64(28.0), 'skewness': np.float64(-0.7633407365420014), 'kurtosis': np.float64(0.5306124953883846), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_mintemp': {'mean': np.float64(24.910632738284207), 'std': np.float64(2.727195900983958), 'min': np.int64(-40), 'max': np.int64(32), 'median': np.float64(25.0), 'skewness': np.float64(-1.7813815442802083), 'kurtosis': np.float64(24.275599269354927), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(869)}}"
quality_score,50.0
