,mean,std,min,max,median,missing,zeros,negative
time,413087239.7123005,8495122.437950106,401064108.0,430124039.0,411091754.0,0.0,0.0,0.0
vhc_speed,12.298045101771855,14.632813634264497,0.0,49.3,2.4,0.0,32058.0,0.0
charging_signal,2.631776248352614,0.7751564814804575,1.0,3.0,3.0,0.0,0.0,0.0
vhc_totalMile,306854.8782398594,1026.8312205933837,305135.0,308793.0,306797.0,0.0,0.0,0.0
hv_voltage,597.1583570068825,10.740068963485447,572.9,1310.7,596.5,0.0,0.0,0.0
hv_current,2.4488812417630696,65.04198770927444,-212.7,265.4,2.3,0.0,8108.0,20182.0
bcell_soc,76.36873627178211,16.45499309497632,16.0,100.0,79.0,0.0,0.0,0.0
bcell_maxVoltage,40741.59107276322,31781.367005248576,3.2,65535.0,65535.0,0.0,0.0,0.0
bcell_minVoltage,36822.53717810807,32514.405210673245,0.0,65535.0,65535.0,0.0,8.0,0.0
bcell_maxTemp,27.681519988285253,4.654245468592819,20.0,255.0,28.0,0.0,0.0,0.0
bcell_minTemp,26.28594230487626,2.4584032415691195,0.0,32.0,27.0,0.0,17.0,0.0
