,total_events,avg_duration_hours,avg_delta_soc,total_charge_ah,median_capacity_ah,capacity_std
1,37.0,7.282717717717718,41.027027027027025,10345.456583333333,271.87885802469134,1343.7783267652005
2,47.0,1.2709751773049647,41.97872340425532,6733.723638888888,230.13833085317464,148.79560976829939
3,45.0,6.787753086419753,49.0,34823.36269444445,424.6197183098592,6016.538119885869
4,62.0,5.475716845878137,49.82258064516129,51048.53388888887,389.64750417710945,5643.51269808118
5,43.0,7.9520607235142124,52.906976744186046,50739.53144444444,389.17727840199746,6878.385989440429
6,71.0,8.130438184663536,52.985915492957744,61420.994444444426,389.6958161865569,6061.00543032592
7,35.0,230.8137619047619,-0.5428571428571428,27736.383888888893,326.96794871794873,7308.693148206539
8,30.0,39.646064814814814,46.3,150767.3645277778,1662.3424836601305,31788.65143345902
9,63.0,9.085970017636685,8.936507936507937,70835.48641666665,1523.2946859903382,28947.21465462308
10,11.0,5.335050505050504,36.45454545454545,4694.42125,1156.6816872427985,197.7397789374784
